2025-10-30 21:20:09,354 - \u2705 Success | Error 0.0846 | Source API (Live)
2025-10-30 21:20:28,683 - \u2705 Success | Error 0.092 | Source API (Live)
2025-10-30 21:20:49,154 - \u2705 Success | Error 0.0989 | Source API (Live)
2025-10-30 21:21:08,385 - \u2705 Success | Error 0.1053 | Source API (Live)
2025-10-30 21:21:28,383 - \u2705 Success | Error 0.1112 | Source API (Live)
2025-10-30 21:21:49,655 - \u2705 Success | Error 0.1166 | Source API (Live)
2025-10-30 21:22:08,964 - \u2705 Success | Error 0.1217 | Source API (Live)
2025-10-30 21:22:28,447 - \u2705 Success | Error 0.1263 | Source API (Live)
2025-10-30 21:22:48,476 - \u2705 Success | Error 0.1306 | Source API (Live)
2025-10-30 21:23:08,863 - \u2705 Success | Error 0.1345 | Source API (Live)
2025-10-30 21:23:28,551 - \u2705 Success | Error 0.1382 | Source API (Live)
2025-10-30 21:23:49,853 - \u2705 Success | Error 0.1415 | Source API (Live)
2025-10-30 21:24:08,991 - \u2705 Success | Error 0.1446 | Source API (Live)
2025-10-30 21:24:29,337 - \u2705 Success | Error 0.1475 | Source API (Live)
2025-10-30 21:24:48,478 - \u2705 Success | Error 0.1501 | Source API (Live)
2025-10-30 21:25:09,382 - \u2705 Success | Error 0.1525 | Source API (Live)
2025-10-30 21:25:28,854 - \u2705 Success | Error 0.1548 | Source API (Live)
2025-10-30 21:25:48,570 - \u2705 Success | Error 0.1568 | Source API (Live)
2025-10-30 21:26:08,628 - \u2705 Success | Error 0.1587 | Source API (Live)
2025-10-30 21:26:28,503 - \u2705 Success | Error 0.1605 | Source API (Live)
2025-10-30 21:26:48,470 - \u2705 Success | Error 0.1621 | Source API (Live)
2025-10-30 21:27:08,591 - \u2705 Success | Error 0.1636 | Source API (Live)
2025-10-30 21:27:29,103 - \u2705 Success | Error 0.1649 | Source API (Live)
2025-10-30 21:27:48,878 - \u2705 Success | Error 0.1662 | Source API (Live)
2025-10-30 21:28:08,684 - \u2705 Success | Error 0.1673 | Source API (Live)
2025-10-30 21:28:28,705 - \u2705 Success | Error 0.1683 | Source API (Live)
2025-10-30 21:28:48,617 - \u2705 Success | Error 0.1693 | Source API (Live)
2025-10-30 21:29:08,527 - \u2705 Success | Error 0.1702 | Source API (Live)
2025-10-30 21:29:28,907 - \u2705 Success | Error 0.171 | Source API (Live)
2025-10-30 21:29:48,607 - \u2705 Success | Error 0.1717 | Source API (Live)
2025-10-30 21:30:08,824 - \u2705 Success | Error 0.1723 | Source API (Live)
2025-10-30 21:30:29,611 - \u2705 Success | Error 0.1729 | Source API (Live)
2025-10-30 21:30:48,576 - \u2705 Success | Error 0.1735 | Source API (Live)
2025-10-30 21:31:09,007 - \u2705 Success | Error 0.1739 | Source API (Live)
2025-10-30 21:31:28,707 - \u2705 Success | Error 0.1744 | Source API (Live)
2025-10-30 21:31:48,744 - \u2705 Success | Error 0.1748 | Source API (Live)
2025-10-30 21:32:08,586 - \u2705 Success | Error 0.1751 | Source API (Live)
2025-10-30 21:32:29,602 - \u2705 Success | Error 0.1754 | Source API (Live)
2025-10-30 21:32:48,755 - \u2705 Success | Error 0.1757 | Source API (Live)
2025-10-30 21:33:08,974 - \u2705 Success | Error 0.1759 | Source API (Live)
2025-10-30 21:33:28,826 - \u2705 Success | Error 0.1761 | Source API (Live)
2025-10-30 21:33:48,788 - \u2705 Success | Error 0.1763 | Source API (Live)
2025-10-30 21:34:08,740 - \u2705 Success | Error 0.1764 | Source API (Live)
2025-10-30 21:34:29,651 - \u2705 Success | Error 0.1766 | Source API (Live)
2025-10-30 21:34:48,711 - \u2705 Success | Error 0.1767 | Source API (Live)
2025-10-30 21:35:04,105 - \u2705 Success | Error 0.1234 | Source API (Live)
2025-10-30 21:35:08,702 - \u2705 Success | Error 0.1767 | Source API (Live)
2025-10-30 21:35:14,403 - \u2705 Success | Error 0.1235 | Source API (Live)
2025-10-30 21:35:24,847 - \u2705 Success | Error 0.1236 | Source API (Live)
2025-10-30 21:35:35,840 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:35:46,108 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:35:56,871 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:36:07,286 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:36:18,071 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:36:28,318 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:36:39,653 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:36:49,875 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:37:00,935 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:37:11,369 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:37:21,692 - \u2705 Success | Error 0.1236 | Source API (Live)
2025-10-30 21:37:32,238 - \u2705 Success | Error 0.1236 | Source API (Live)
2025-10-30 21:37:43,270 - \u2705 Success | Error 0.1235 | Source API (Live)
2025-10-30 21:37:54,386 - \u2705 Success | Error 0.1235 | Source API (Live)
2025-10-30 21:38:04,554 - \u2705 Success | Error 0.1234 | Source API (Live)
2025-10-30 21:38:05,512 - \u2705 Success | Error 0.1235 | Source API (Live)
2025-10-30 21:38:17,896 - \u2705 Success | Error 0.1236 | Source API (Live)
2025-10-30 21:38:27,475 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:38:37,997 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:38:48,411 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:38:58,836 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:39:09,298 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:39:20,132 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:39:30,510 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:39:41,281 - \u2705 Success | Error 0.1238 | Source API (Live)
2025-10-30 21:39:51,593 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:40:03,764 - \u2705 Success | Error 0.1237 | Source API (Live)
2025-10-30 21:40:13,542 - \u2705 Success | Error 0.1236 | Source API (Live)
2025-10-30 21:40:26,560 - \u2705 Success | Error 0.1236 | Source API (Live)
2025-10-30 21:40:36,044 - \u2705 Success | Error 0.1235 | Source API (Live)
2025-10-30 21:40:46,508 - \u2705 Success | Error 0.1235 | Source API (Live)
2025-10-30 21:50:24,488 - \u2705 Success | Error 0.1766 | Source API (Live)
2025-10-30 21:50:45,318 - \u2705 Success | Error 0.1767 | Source API (Live)
2025-10-30 21:52:13,412 - \u2705 Success | Error 0.1767 | Source API (Live)
2025-10-30 21:52:34,006 - \u2705 Success | Error 0.1767 | Source API (Live)
2025-10-30 21:55:01,855 - \u2705 Success | Error 0.1767 | Source API (Live)
2025-10-30 21:55:22,688 - \u2705 Success | Error 0.1768 | Source API (Live)
2025-10-30 21:56:54,733 - \u2705 Success | Error 1.241 | Source API (Live)
2025-10-30 21:57:14,666 - \u2705 Success | Error 1.1311 | Source API (Live)
2025-10-30 21:59:02,100 - \u2705 Success | Error 1.1311 | Source API (Live)
2025-10-30 21:59:22,374 - \u2705 Success | Error 1.0309 | Source API (Live)
2025-10-30 21:59:42,252 - \u2705 Success | Error 0.9395 | Source API (Live)
2025-10-30 22:00:03,626 - \u2705 Success | Error 0.9227 | Source API (Live)
2025-10-30 22:00:23,424 - \u2705 Success | Error 0.8333 | Source API (Live)
2025-10-30 22:00:43,246 - \u2705 Success | Error 0.7525 | Source API (Live)
2025-10-30 22:01:02,773 - \u2705 Success | Error 0.6794 | Source API (Live)
2025-10-30 22:01:22,995 - \u2705 Success | Error 0.6132 | Source API (Live)
2025-10-30 22:01:42,247 - \u2705 Success | Error 0.5533 | Source API (Live)
2025-10-30 22:02:02,522 - \u2705 Success | Error 0.4991 | Source API (Live)
2025-10-30 22:02:22,281 - \u2705 Success | Error 0.45 | Source API (Live)
2025-10-30 22:02:42,344 - \u2705 Success | Error 0.4055 | Source API (Live)
2025-10-30 22:03:04,127 - \u2705 Success | Error 0.3651 | Source API (Live)
2025-10-30 22:03:22,197 - \u2705 Success | Error 0.3284 | Source API (Live)
